trip_uuid,data,trip_creation_time,route_schedule_uuid,route_type,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,num_stops,source_hub,destination_hub,intermediate_hub,corridor,shipment_priority,vehicle_type,vehicle_speed_factor,delivery_time_hrs,actual_delivery_time,route_distance,delay_minutes,promised_delivery_time,sla_breach,shipment_datetime,hour_of_day,day_of_week_num,day_of_week,month,is_weekend,is_peak_hour,quarter,time_of_day,weather_condition,weather_risk,priority_rank,hub_load,hub_capacity,traffic_level,congestion_score,route_id,avg_delay_per_route,route_volume,base_speed,est_travel_hrs,delay_ratio,traffic_weather_interaction,distance_congestion,stops_delay_interaction,capacity_utilization,sla_margin_hrs,shipment_id,source_hub_enc,destination_hub_enc,weather_condition_enc,route_type_enc,shipment_priority_enc,route_id_enc,vehicle_type_enc,corridor_enc,time_of_day_enc,day_of_week_enc,route_distance_norm,traffic_level_norm,hub_load_norm,num_stops_norm,congestion_score_norm,avg_delay_per_route_norm,est_travel_hrs_norm,weather_risk_norm,priority_rank_norm
trip-153671090980523004,training,2018-09-12 00:08:29.805514,thanos::sroute:580c788b-ff17-4c1b-9bbd-c59e7b05cd04,Carting,IND412105AAC,Pune_North_D_3 (Maharashtra),IND411017AAA,PNQ Rahatani DPC (Maharashtra),2018-09-12 02:17:04.815916,2018-09-12 03:30:02.142126,72.0,False,13,2018-09-12 02:17:53.318646,13.583706117422135,60.0,17.0,18.5886,3.5294117647058822,26.0,6.0,6.3643,4.333333333333333,2,Pune,Mumbai,,Mumbai-Pune Expressway,Express,Express Van,1.15,1.0,1.0,13.6,43.0,48,0,2018-09-12 00:08:29.805514,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.355,2800,0.8,0.622,Pune_Mumbai,103.48,272,45,0.302,2.249,2.4,8.46,86.0,994.0,47.0,trip-153671090980523004,16,13,3,0,1,235,0,3,4,6,0.002397831526271893,0.7777777777777778,0.19374999999999998,0.01,0.5573770491803279,0.05909765848086808,0.0034632622572321053,0.5,0.6666666666666667
trip-153671110078355292,training,2018-09-12 00:11:40.783923,thanos::sroute:c2ee580f-f4b2-4fa5-98ab-0c5b32753392,Carting,IND121004AAB,FBD_Balabhgarh_DPC (Haryana),IND121001AAA,Faridabad (Haryana),2018-09-12 00:11:40.783923,2018-09-12 00:50:10.814399,38.0,False,9,2018-09-12 00:27:26,9.39652561332599,17.0,9.0,10.8159,1.8888888888888888,17.0,9.0,10.8159,1.8888888888888888,1,Delhi,Delhi,,General Network,Express,Express Van,1.15,0.283,0.283,9.4,8.0,48,0,2018-09-12 00:11:40.783923,0,2,Wednesday,9,0,0,3,Night,Heavy Rain,4,3,1.0,4800,0.31,0.586,Delhi_Delhi,69.92,1843,45,0.209,0.591,1.24,5.51,8.0,4800.0,47.717,trip-153671110078355292,6,6,2,0,1,82,0,1,4,6,0.00020850708924103484,0.23333333333333334,1.0,0.0,0.5152224824355972,0.03993146773272416,0.0003055819638734204,0.75,0.6666666666666667
trip-153671117375890592,training,2018-09-12 00:12:53.759171,thanos::sroute:f7deffcd-f92a-409b-b86e-c477997a5f32,FTL,IND415408AAC,Shirala_Central_DPP_3 (Maharashtra),IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),2018-09-12 09:10:19.661479,2018-09-12 17:32:20.626833,502.0,False,34,2018-09-12 09:10:19.661479,34.98844151954941,291.0,48.0,54.2263,6.0625,291.0,48.0,54.2263,6.0625,10,Mumbai,Mumbai,,General Network,Standard,FTL Truck,1.0,4.85,4.85,35.0,243.0,72,0,2018-09-12 00:12:53.759171,0,2,Wednesday,9,0,0,3,Night,Rain,3,2,0.947,5000,1.0,0.979,Mumbai_Mumbai,85.41,1888,65,0.538,7.302,3.0,34.26,2430.0,4735.0,67.15,trip-153671117375890592,13,13,3,1,3,189,1,1,4,6,0.013552960800667223,1.0,0.9337499999999999,0.09000000000000001,0.9754098360655739,0.04877784123358081,0.011476300421024039,0.5,0.3333333333333333
trip-153671121411074590,training,2018-09-12 00:13:34.111131,thanos::sroute:fd23d4f1-012f-4247-80e9-506d32e982a1,FTL,IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-12 10:50:14.219080,2018-09-12 19:09:57.540819,499.0,False,177,2018-09-12 12:39:32,177.51088531016336,339.0,184.0,203.6756,1.8423913043478264,0.0,0.0,0.0,-1.0,23,Jaipur,Bangalore,,General Network,Economy,FTL Truck,1.0,5.65,5.65,177.5,155.0,120,0,2018-09-12 00:13:34.111131,0,2,Wednesday,9,0,0,3,Night,Heavy Rain,4,1,0.388,2200,0.35,0.365,Jaipur_Bangalore,147.22,18,65,2.731,0.94,1.4,64.79,3565.0,854.0,114.35,trip-153671121411074590,9,1,2,1,0,126,1,1,4,6,0.08783361134278565,0.2777777777777778,0.235,0.22,0.2564402810304449,0.08407766990291263,0.08593643895151432,0.75,0.0
trip-153671122262300031,training,2018-09-12 00:13:42.623227,thanos::sroute:1d848e84-b73b-47b3-90ec-4a12509bafc7,FTL,IND508223AAA,Thirumalagiri_Xroad_D (Telangana),IND500039AAC,Hyderabad_Uppal_I (Telangana),2018-09-12 03:54:04.987871,2018-09-12 08:12:53.012311,258.0,False,94,2018-09-12 04:03:30,94.03512763394215,243.0,88.0,122.8876,2.761363636363636,17.0,5.0,5.6366000000000005,3.4,5,Surat,Hyderabad,,General Network,Economy,FTL Truck,1.0,4.05,4.05,94.0,155.0,120,0,2018-09-12 00:13:42.623227,0,2,Wednesday,9,0,0,3,Night,Rain,3,1,0.278,1800,0.619,0.483,Surat_Hyderabad,92.21,28,65,1.446,1.766,1.857,45.4,775.0,500.0,115.95,trip-153671122262300031,17,7,3,1,0,247,1,1,4,6,0.04430775646371977,0.5766666666666667,0.09750000000000003,0.04,0.3946135831381733,0.05266133637921187,0.042306125220698085,0.5,0.0
trip-153671127071609610,training,2018-09-12 00:14:30.716368,thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,Carting,IND585314AAA,Aland_RazaviRd_D (Karnataka),IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),2018-09-12 07:54:13.838441,2018-09-12 15:45:11.190848,470.0,False,35,2018-09-12 08:07:26,35.08317944906771,172.0,36.0,39.1058,4.777777777777778,134.0,7.0,8.0381,19.142857142857142,22,Bangalore,Bangalore,,General Network,Express,Express Van,1.15,2.867,2.867,35.1,136.0,48,0,2018-09-12 00:14:30.716368,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.908,4200,1.0,0.963,Bangalore_Bangalore,51.87,2031,45,0.78,2.845,3.0,33.8,2992.0,3814.0,45.133,trip-153671127071609610,1,1,3,0,1,14,0,1,4,6,0.01360508757297748,1.0,0.885,0.21,0.9566744730679158,0.029623072529982867,0.019693059894064918,0.5,0.6666666666666667
trip-153671128962918389,training,2018-09-12 00:14:49.629525,thanos::sroute:b62ab3ed-c60b-47d2-8c91-fe62135912dc,Carting,IND302020AAA,Jaipur_VarunCly_DC (Rajasthan),IND302014AAB,Jaipur_Central_I_7 (Rajasthan),2018-09-12 04:11:15.177664,2018-09-12 04:51:49.754427,40.0,False,10,2018-09-12 04:23:28,10.21497674502906,23.0,9.0,11.5589,2.555555555555556,0.0,0.0,0.0,-1.0,4,Jaipur,Jaipur,,General Network,Express,Express Van,1.15,0.383,0.383,10.2,14.0,48,0,2018-09-12 00:14:49.629525,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.388,2200,0.49,0.449,Jaipur_Jaipur,105.5,426,45,0.227,0.958,1.47,4.58,56.0,854.0,47.617,trip-153671128962918389,9,9,3,0,1,132,0,1,4,6,0.0006255212677231019,0.4333333333333334,0.235,0.03,0.35480093676814994,0.06025128498001142,0.0009167458916202638,0.5,0.6666666666666667
trip-153671143043841452,training,2018-09-12 00:17:10.438683,thanos::sroute:93b4aac4-c6e3-4b26-9db0-246d5e6206ef,FTL,IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),IND485001AAC,Satna_Central_I_2 (Madhya Pradesh),2018-09-12 00:17:10.438683,2018-09-12 08:51:47.427311,514.0,False,129,2018-09-12 03:51:26,129.74999590608988,289.0,132.0,184.6407,2.1893939393939394,55.0,27.0,37.1194,2.037037037037037,6,Lucknow,Indore,,General Network,Standard,FTL Truck,1.0,4.817,4.817,129.7,157.0,72,0,2018-09-12 00:17:10.438683,0,2,Wednesday,9,0,0,3,Night,Heavy Rain,4,2,0.564,2000,0.452,0.497,Lucknow_Indore,113.88,8,65,1.995,1.301,1.808,64.46,942.0,1128.0,67.183,trip-153671143043841452,12,8,2,1,3,168,1,1,4,6,0.06291701417848206,0.39111111111111113,0.45499999999999996,0.049999999999999996,0.41100702576112413,0.06503712164477442,0.06094662501697678,0.75,0.3333333333333333
trip-153671173668736946,training,2018-09-12 00:22:16.687619,thanos::sroute:7734a02c-9376-4767-a1b5-15897a713b3f,Carting,IND110043AAA,Delhi_Nangli_IP (Delhi),IND110078AAA,Janakpuri (Delhi),2018-09-12 00:22:16.687619,2018-09-12 01:29:19.277412,67.0,False,12,2018-09-12 00:38:24,12.756768045055304,44.0,21.0,18.7668,2.095238095238096,15.0,4.0,4.189,3.75,2,Delhi,Delhi,,General Network,Express,Express Van,1.15,0.733,0.733,12.8,23.0,48,0,2018-09-12 00:22:16.687619,0,2,Wednesday,9,0,0,3,Night,Storm,5,3,1.0,4800,0.4,0.64,Delhi_Delhi,69.92,1843,45,0.284,1.275,2.0,8.19,46.0,4800.0,47.267,trip-153671173668736946,6,6,4,0,1,82,0,1,4,6,0.001980817347789825,0.33333333333333337,1.0,0.01,0.5784543325526932,0.03993146773272416,0.002852098329485263,1.0,0.6666666666666667
trip-153671174968648046,training,2018-09-12 00:22:29.686740,thanos::sroute:83cc6bc3-6aea-456b-879b-e99a90380aec,Carting,IND781005AAA,Guwahati_North (Assam),IND781018AAB,Guwahati_Hub (Assam),2018-09-12 03:53:13.532367,2018-09-12 06:11:57.563883,138.0,False,9,2018-09-12 04:13:56,9.94152474747652,110.0,18.0,19.4925,6.111111111111111,7.0,2.0,2.2981,3.5,2,Ahmedabad,Lucknow,,General Network,Express,Express Van,1.15,1.833,1.833,9.9,92.0,48,0,2018-09-12 00:22:29.686740,0,2,Wednesday,9,0,0,3,Night,Storm,5,3,0.381,2600,1.0,0.752,Ahmedabad_Lucknow,24.82,11,45,0.22,6.479,5.0,7.44,184.0,991.0,46.167,trip-153671174968648046,0,12,4,0,1,7,0,1,4,6,0.0004691409507923275,1.0,0.22625,0.01,0.7096018735362998,0.014174757281553398,0.0006790710308298246,1.0,0.6666666666666667
